INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T,OBS_VALUE__F,OBS_VALUE__M,TIME_DETAIL___T,TIME_DETAIL__F,TIME_DETAIL__M,NATURE___T,NATURE__F,NATURE__M,COMMENT_OBS___T,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue___T,isLatestValue__F,isLatestValue__M
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,2003,23.023,24.756,21.07,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,2008,23.957,25.549,22.167,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,2013,24.682,26.197,23.009,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,2018,25.012,26.516,23.395,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1993,16.444,17.307,15.289,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1998,16.763,17.901,15.265,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2003,17.551,19.089,15.516,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2008,17.86,19.393,15.684,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2013,18.231,19.696,16.048,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",132,Cabo Verde,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2018,18.704,20.169,16.484,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1993,14.409,15.203,13.523,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1998,13.967,15.112,12.722,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2003,13.775,14.903,12.507,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2008,13.803,14.79,12.638,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2013,13.956,14.809,12.907,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",140,Central African Republic,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2018,14.52,15.515,13.292,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,1993,18.388,19.473,17.374,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,1998,17.32,18.277,16.375,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,2003,20.035,21.806,18.278,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,2008,20.417,22.175,18.542,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,2013,20.773,22.537,18.8,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",144,Sri Lanka,FSM,158.25,6.91666666,Central and Southern Asia,G,Global,2019,YR,Years,2018,21.097,22.893,19.05,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1993,14.914,15.392,14.374,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1998,15.114,15.63,14.537,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2003,15.23,15.733,14.673,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2008,15.426,15.915,14.889,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2013,15.733,16.224,15.19,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",148,Chad,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2018,15.986,16.509,15.407,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,1993,19.889,21.497,17.995,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,1998,20.784,22.449,18.806,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,2003,21.625,23.339,19.583,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,2008,22.498,24.222,20.445,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,2013,23.321,25.054,21.27,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",152,Chile,FSM,158.25,6.91666666,Latin America and the Caribbean,G,Global,2019,YR,Years,2018,23.775,25.21,22.062,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,1993,17.387,18.766,16.081,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,1998,17.792,19.25,16.436,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,2003,18.262,19.5,17.089,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,2008,18.621,20.032,17.308,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,2013,19.192,20.878,17.632,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",156,China,FSM,158.25,6.91666666,Eastern and South-Eastern Asia,G,Global,2019,YR,Years,2018,20.208,21.953,18.546,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
