INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE25___X,OBS_VALUE__F__Y_GE25___X,OBS_VALUE__M__Y_GE25___X,OBS_VALUE___T__Y15T24___X,OBS_VALUE__F__Y15T24___X,OBS_VALUE__M__Y15T24___X,OBS_VALUE___T__Y_GE15___X,OBS_VALUE__F__Y_GE15___X,OBS_VALUE__M__Y_GE15___X,NATURE___T__Y_GE25___X,NATURE__F__Y_GE25___X,NATURE__M__Y_GE25___X,NATURE___T__Y15T24___X,NATURE__F__Y15T24___X,NATURE__M__Y15T24___X,NATURE___T__Y_GE15___X,NATURE__F__Y_GE15___X,NATURE__M__Y_GE15___X,COMMENT_OBS___T__Y_GE25___X,COMMENT_OBS__F__Y_GE25___X,COMMENT_OBS__M__Y_GE25___X,COMMENT_OBS___T__Y15T24___X,COMMENT_OBS__F__Y15T24___X,COMMENT_OBS__M__Y15T24___X,COMMENT_OBS___T__Y_GE15___X,COMMENT_OBS__F__Y_GE15___X,COMMENT_OBS__M__Y_GE15___X,isLatestValue___T__Y_GE25___X,isLatestValue__F__Y_GE25___X,isLatestValue__M__Y_GE25___X,isLatestValue___T__Y15T24___X,isLatestValue__F__Y15T24___X,isLatestValue__M__Y15T24___X,isLatestValue___T__Y_GE15___X,isLatestValue__F__Y_GE15___X,isLatestValue__M__Y_GE15___X
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2009,6.0,6.1,5.9,16.2,13.8,17.8,6.8,6.6,7.0,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2010,9.2,8.8,9.7,21.9,20.1,23.2,10.3,9.6,10.9,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2011,10.1,9.1,11.0,25.0,23.6,26.0,11.3,10.1,12.3,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2012,11.0,9.8,12.1,28.1,26.0,29.5,12.3,10.8,13.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2013,11.8,11.0,12.6,28.4,25.7,30.2,12.9,11.8,13.9,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2014,10.6,9.7,11.5,23.8,23.7,23.8,11.4,10.4,12.3,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2015,8.4,7.7,9.0,21.7,22.3,21.2,9.1,8.4,9.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2016,7.1,6.5,7.6,17.2,16.9,17.4,7.6,7.0,8.1,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2017,5.8,5.7,5.9,12.9,12.5,13.3,6.2,6.0,6.4,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2018,4.9,4.4,5.3,12.7,11.9,13.2,5.2,4.7,5.7,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
